"S.No,Taluka,Site Name,Latitude,Longitude,Nitrate_mg_per_L"
"108,Kamthi,Asoli Salwa,21.1414,79.2042,10"
"109,Kamthi,Gumthala,21.1375,79.2836,31"
"110,Kamthi,Palsad,21.1147,79.2717,39"
"111,Kamthi,Chikli,21.0867,79.3031,16"
"112,Kamthi,Badoda/Waddoda,21.1339,79.3192,11"
"113,Mauda,Vanjara,21.1172,79.4189,29"
"114,Mauda,Chirvha,21.1278,79.4511,15"
"115,Mauda,Marodi,21.1564,79.4500,18"
"116,Mauda,Dhanala,21.1858,79.4686,41"
"117,Mauda,Govri,21.1214,79.5056,37"
"118,Mauda,Panjra,21.2114,79.5369,28"
"119,Mauda,Sirsoli,21.2853,79.5369,20"
"120,Mauda,Bori Ghiwari,21.3281,79.5078,32"
"121,Mauda,Aroli,21.3228,79.4494,12"
"122,Mauda,Kumbhapur,21.1989,79.3283,19"
"123,Mauda,Bhendala,21.2308,79.4289,31"
"124,Mauda,Hingna,21.2622,79.3878,30"
"125,Mauda,Chacher,21.2831,79.3372,30"
"126,Mauda,Rewral,21.2647,79.4639,41"
"127,Kamthi,Waregaon,21.2475,79.1539,88"
"128,Kamthi,Suradevi,21.2469,79.1211,51"
"129,Kamthi,Ghorgada,21.1886,79.1992,8"
"130,Kamthi,Gada,21.1964,79.2344,15"
"131,Kamthi,Ungaon,21.1903,79.2922,29"
"132,Parseoni,Khandala,21.2192,79.2672,17"
"133,Kalmeshwar,Kalmeshwar,21.2297,78.9183,16"
"134,Kalmeshwar,Uparvani,21.2150,78.8553,59"
"135,Kalmeshwar,Wathoda,21.2825,78.8389,50"
"136,Kalmeshwar,Mohpa,21.3064,78.8283,62"
"137,Kalmeshwar,Khairi,21.2925,78.7908,43"
"138,Kalmeshwar,Mandvi,21.3425,78.8058,46"
"139,Kalmeshwar,Tishti,21.3731,78.7875,78"
"140,Kalmeshwar,Parsodi Wakii,21.3464,78.8856,32"
"141,Kalmeshwar,Tel-Kamthi,21.3761,78.8517,53"
"142,Kalmeshwar,Dadhera,21.3889,78.7728,19"
"143,Saoner,Khursipar,21.4731,78.7589,23"
"144,Saoner,Jatamkhor,21.4747,78.8103,75"
"145,Saoner,Umri,21.4203,78.8136,17"
"146,Saoner,Rampuri,21.4436,78.8642,68"
"147,Saoner,Kelwad,21.4633,78.8792,110.5"
