"S.No,Taluka,Site Name,Latitude,Longitude,Fluoride_mg_per_L"
"101,Hingna,Hingna (Dhangarpura),21.0739,78.9578,0.3"
"102,Ramtek,Karwahi,21.6689,79.4500,2.90"
"103,Ramtek,Pathrai,21.5306,79.3000,0.89"
"104,Ramtek,Kamthi,21.6067,79.3722,0.47"
"105,Ramtek,Lakhapur,21.5603,79.4311,1.16"
"106,Ramtek,Murda,21.4589,79.4164,1.11"
"107,Ramtek,Gugaldoh/ Ghogra,21.4217,79.4322,1.34"
"108,Kamthi,Asoli Salwa,21.1414,79.2042,3.92"
"109,Kamthi,Gumthala,21.1375,79.2836,0.71"
"110,Kamthi,Palsad,21.1147,79.2717,1.26"
"111,Kamthi,Chikli,21.0867,79.3031,1.74"
"112,Kamthi,Badoda/Waddoda,21.1339,79.3192,0.36"
"113,Mauda,Vanjara,21.1172,79.4189,0.82"
"114,Mauda,Chirvha,21.1278,79.4511,2.35"
"115,Mauda,Marodi,21.1564,79.4500,0.94"
"116,Mauda,Dhanala,21.1858,79.4686,0.59"
"117,Mauda,Govri,21.1214,79.5056,2.07"
"118,Mauda,Panjra,21.2114,79.5369,4.34"
"119,Mauda,Sirsoli,21.2853,79.5369,0.87"
"120,Mauda,Bori Ghiwari,21.3281,79.5078,5.97"
"121,Mauda,Aroli,21.3228,79.4494,0.22"
"122,Mauda,Kumbhapur,21.1989,79.3283,0.04"
"123,Mauda,Bhendala,21.2308,79.4289,2.71"
"124,Mauda,Hingna,21.2622,79.3878,2.41"
"125,Mauda,Chacher,21.2831,79.3372,0.67"
"126,Mauda,Rewral,21.2647,79.4639,3.53"
"127,Kamthi,Waregaon,21.2475,79.1539,0.48"
"128,Kamthi,Suradevi,21.2469,79.1211,4.11"
"129,Kamthi,Ghorgada,21.1886,79.1992,0.65"
"130,Kamthi,Gada,21.1964,79.2344,0.96"
"131,Kamthi,Ungaon,21.1903,79.2922,0.76"
"132,Parseoni,Khandala,21.2192,79.2672,2.25"
"133,Kalmeshwar,Kalmeshwar,21.2297,78.9183,3.60"
"134,Kalmeshwar,Uparvani,21.2150,78.8553,1.96"
"135,Kalmeshwar,Wathoda,21.2825,78.8389,1.32"
"136,Kalmeshwar,Mohpa,21.3064,78.8283,0.70"
"137,Kalmeshwar,Khairi,21.2925,78.7908,0.70"
"138,Kalmeshwar,Mandvi,21.3425,78.8058,1.81"
"139,Kalmeshwar,Tishti,21.3731,78.7875,0.78"
"140,Kalmeshwar,Parsodi Wakii,21.3464,78.8856,1.57"
"141,Kalmeshwar,Tel-Kamthi,21.3761,78.8517,1.48"
"142,Kalmeshwar,Dadhera,21.3889,78.7728,1.94"
"143,Saoner,Khursipar,21.4731,78.7589,1.69"
"144,Saoner,Jatamkhor,21.4747,78.8103,0.91"
"145,Saoner,Umri,21.4203,78.8136,0.95"
"146,Saoner,Rampuri,21.4436,78.8642,1.05"
"147,Saoner,Kelwad,21.4633,78.8792,1.62"
"148,Parseoni,Satak,21.3367,79.2661,0.67"
"149,Ramtek,Amgaon,21.3881,79.3489,0.55"
"150,Parsioni,Tamaswadi,21.3111,79.1350,0.82"
"151,Parsioni,Guramde,21.3136,79.1750,1.84"
"152,Parsioni,Kharanbad,21.3739,79.1139,2.53"
"153,Parsioni,Khubala,21.4656,78.9956,0.91"
"154,Saoner,Tembhurdoh,21.5047,78.9472,2.05"
"155,Saoner,Waki,21.3358,79.0250,1.68"
"156,Saoner,Gujarwadi,21.3756,78.9436,1.77"
"157,Saoner,Khurajgaon,21.4147,78.9081,1.97"
"158,Saoner,Nanda Kourd,21.4414,78.9583,2.31"
"159,Saoner,Kawatha,21.4753,78.9047,1.54"
"160,Parseoni,SuwarDhara,21.4856,79.1256,0.89"
"161,Parseoni,Bitoli,21.4347,79.1650,5.10"
"162,Parseoni,Mahul,21.4150,79.1883,1.10"
"163,Parseoni,Khandala,21.2189,79.2672,2.37"
"164,Parseoni,Kherdi,21.2600,79.2900,1.91"
"165,Ramtek,Kachurwadi,21.3317,79.3853,0.74"
"166,Mohda,KhaperKhedi,21.3531,79.4292,0.33"
"167,Ramtek,Patgavri,21.3936,79.2278,2.42"
"168,Borda,Ramtek,21.4483,79.2742,2.47"
"169,Warghat,Ramtek,21.5481,79.4075,2.26"
"170,Karwahi,Ramtek,21.3936,79.4492,1.27"
"171,Parsodi,Mauda,21.0958,79.2092,2.05"
"172,Bhiwapur,Kaodasi,20.7698,79.3038,0.8"
"173,Bhiwapur,Zamkoli,20.6314,79.1953,0.6"
"174,Bhiwapur,Kholdoda,20.5974,79.3098,0.8"
"175,Bhiwapur,Malewada,20.7262,79.3695,1.1"
"176,Bhiwapur,Bhiwapur,20.7664,79.5164,1.0"
"177,Bhiwapur,Seloti,20.7450,79.4421,0.6"
"178,Bhiwapur,Adhyal,20.8030,79.5158,0.8"
"179,Bhiwapur,Somnala,20.8383,79.5119,0.4"
"180,Kuhi,Gothangzon,20.9252,79.5316,1.1"
"181,Kuhi,Jiwanapur,20.9462,79.5167,0.5"
"182,Kuhi,Tutanbori,20.7992,79.4353,0.4"
"183,Bhiwapur,Gondbori,20.7949,79.4498,0.3"
"184,Kuhi,Adam,20.9977,79.4521,0.3"
"185,Kuhi,Channa,20.9933,79.5230,0.8"
"186,Kuhi,Pauni,21.0189,79.4919,0.4"
"187,Kuhi,Bhiwkund,21.0519,79.4594,0.8"
"188,Kuhi,Rajola,21.0733,79.5244,0.4"
"189,Kuhi,Kuhi,21.0119,79.3509,0.8"
"190,Kuhi,Dhanoli,21.0446,79.2636,0.9"
"191,Kuhi,Dodama,21.0112,79.2560,0.8"
"192,Kuhi,Ambadi,21.0569,79.3643,0.5"
